Ticker,Open Price,Previous Close,Volume
MMM,143.68,142.32,"1,244,840"
AXP,290.93,287.79,"1,698,553"
AAPL,197.29,196.45,"39,985,620"
AMGN,296.31,295.22,"1,971,065"
BA,200.57,200.32,"6,292,363"
CAT,361.00,357.05,--
CVX,145.73,145.91,"8,919,430"
CSCO,65.19,64.09,"16,281,479"
KO,71.20,71.02,"12,465,056"
DOW,30.34,29.90,"8,991,056"
DIS,118.02,117.94,"8,084,395"
GS,619.00,613.54,"1,319,369"
HD,355.88,354.66,"2,669,682"
HON,225.57,224.29,"1,910,902"
IBM,279.30,277.22,"2,743,399"
INTC,20.41,20.14,"84,493,399"
JNJ,156.42,157.10,--
JPM,267.00,264.95,"5,549,182"
MCD,303.14,301.91,"3,500,524"
MRK,80.88,80.90,"9,280,244"
MSFT,475.27,474.96,"14,709,508"
NKE,61.38,60.53,"11,064,810"
PG,160.88,160.28,"4,881,187"
CRM,260.39,258.40,"4,957,696"
SHW,337.49,335.88,"1,368,447"
TRV,265.00,263.47,"624,273"
UNH,313.00,311.32,"13,065,049"
VZ,42.96,43.01,"16,718,126"
V,356.49,352.85,"6,170,903"
WMT,94.75,94.44,"11,926,452"
AMZN,212.37,212.10,"31,494,065"
NVDA,143.35,141.97,"178,350,850"
